id,first_name,last_name,dob
0,mary,smith,1998-02-12
1,peter,njoroge,2007-06-02
2,aisha,okello,2005-05-03
3,mary,oekllo,1967-03-03
4,otyno,smiht,1971-08-05
5,mwangi,okello,1965-04-05
6,mary,kamau,2005-04-19
7,jnae,njoroge,1998-03-06
8,aisha,okello,1976-09-06
9,jane,njoroge,1966-02-06
10,mwangi,otieno,1987-09-13
11,aihsa,koello,1982-01-22
12,ojhn,deo,1979-05-26
13,mary,oteino,1990-12-20
14,,adbul,1994-09-28
15,faith,oteino,1967-03-03
16,otieno,abdul,1960-06-28
17,,deo,1986-10-25
18,john,abdul,1965-01-18
19,otyno,smith,1994-12-26
20,peter,kamau,1962-04-22
21,mwangi,smiht,1985-03-13
22,jnae,njoroge,1990-07-27
23,aisah,otieno,1986-12-10
24,jane,,2010-01-03
25,otieno,abdul,1961-01-27
26,otieno,otieno,2003-08-20
27,mary,okello,1986-06-20
28,john,,2007-12-25
29,aisha,njoroge,2000-08-10
30,otieno,nojroge,1980-05-26
31,peter,kmaau,2009-03-03
32,asiha,otieno,1975-09-26
33,,ode,2008-06-09
34,mwangi,doe,1996-03-06
35,peter,otieno,1994-11-24
36,iasha,smith,2006-02-23
37,pteer,otieno,1993-08-27
38,,smith,1988-02-02
39,jane,smith,1987-03-05
40,john,otieon,1994-06-04
41,wmangi,okello,1989-03-16
42,mary,abudl,1980-10-11
43,fiath,,1998-10-24
44,aisha,abdul,2007-01-02
45,peter,,1984-09-24
46,afith,okello,2006-07-20
47,peter,smith,2000-05-26
48,jhon,otieno,1991-12-07
49,iasha,kmaau,2003-07-10
50,toieno,doe,1991-03-26
51,mary,,1989-03-14
52,aihsa,smtih,1964-11-19
53,aisha,smith,1976-06-12
54,mray,okello,1970-09-02
55,aisha,smith,1975-07-27
56,jnae,otieno,1981-10-14
57,aisha,,2010-12-20
58,john,kmaau,2005-06-12
59,mary,doe,1974-11-06
60,,kamau,2000-07-23
61,mary,kamau,1999-08-04
62,mary,njoroge,1992-03-05
63,ajne,,1970-03-22
64,,abdul,1987-04-10
65,john,okello,1980-11-24
66,aisha,toieno,1968-01-19
67,otyno,njoroge,2008-09-26
68,oteino,otieno,1967-09-27
69,peter,otieno,1998-12-07
70,jonh,otieno,1983-04-04
71,mwangi,njoroge,1994-02-09
72,mwangi,njoroge,1993-04-15
73,otieno,smith,1979-01-09
74,otieno,,1991-05-26
75,john,,1980-07-25
76,faith,smith,1963-04-12
77,,doe,1999-05-10
78,mary,doe,1998-02-24
79,peter,kamau,1994-02-06
80,peter,doe,1981-10-22
81,mary,otineo,1967-09-15
82,mwanig,kamau,2002-03-23
83,mwangi,okello,1969-02-14
84,fatih,otieno,1995-08-02
85,faith,otieno,1984-08-28
86,jane,simth,1990-04-14
87,jonh,kamau,1982-05-12
88,otieno,doe,1986-02-25
89,aisha,njoroge,1960-12-05
90,aisha,doe,2008-03-09
91,aisha,njoroge,2003-03-14
92,aisha,abdul,1968-12-26
93,mwangi,smith,1975-07-17
94,epter,,1999-05-17
95,mary,okello,1985-09-17
96,faith,njoroeg,1974-05-24
97,,kamau,2007-08-26
98,aisah,smiht,1993-11-18
99,jane,kamau,1991-06-06
100,faith,smith,2003-09-07
101,aisha,abdul,2000-10-10
102,john,,2006-10-20
103,john,,1997-11-17
104,mwangi,ode,1968-11-13
105,peter,smith,2010-04-05
106,mary,otieno,1966-04-18
107,jhon,kamau,2005-02-03
108,aisha,kamau,1980-09-17
109,pteer,njoroeg,1962-11-26
110,otieno,kamau,1978-06-04
111,aisha,abdul,2002-01-13
112,,otieno,1965-11-10
113,otieno,njoroge,2004-07-18
114,otieno,smith,2002-08-03
115,faith,,1962-09-04
116,mary,doe,2009-08-27
117,ojhn,njoroge,1960-02-26
118,afith,njoroge,1963-07-01
119,john,njoroge,2003-11-20
120,,njoroge,2008-05-02
121,aisha,kamau,1973-05-09
122,,kamau,1965-11-18
123,aihsa,smith,1999-04-28
124,,njoroge,1987-09-17
125,peter,doe,1979-08-08
126,john,kamau,1982-08-19
127,john,njoroge,1969-03-03
128,mary,ode,2004-01-20
129,peter,okello,1991-01-22
130,aisha,,1962-05-23
131,epter,doe,2006-03-17
132,,akmau,1984-12-02
133,peter,abudl,1968-10-11
134,otieno,abdul,2003-02-04
135,aisha,abdlu,1985-03-14
136,aisah,doe,1964-08-03
137,peetr,okello,1983-11-17
138,peter,smith,1962-09-08
139,mwangi,doe,2000-08-16
140,mary,doe,1964-02-16
141,aisha,ode,2000-04-26
142,,,1961-12-01
143,aisha,abdlu,1988-05-12
144,jane,,1964-11-01
145,aisha,deo,1987-07-11
146,john,smith,2000-06-13
147,jane,okello,2003-05-03
148,john,otieno,1991-05-07
149,aisha,kamau,2009-04-05
150,faith,toieno,1995-04-04
151,mwangi,kamau,1978-05-12
152,aisha,abdul,1964-07-08
153,aisha,,1977-07-15
154,otyno,otineo,1984-04-27
155,faith,abdul,1963-06-26
156,otyno,abdul,1971-03-01
157,faith,simth,1992-12-23
158,jane,doe,1988-03-22
159,peter,njoroge,1985-10-28
160,peter,kamau,1972-03-14
161,,kamau,1995-03-03
162,peetr,smtih,1989-10-10
163,otineo,okello,1996-05-08
164,mary,,1965-12-14
165,faith,otieno,1996-12-21
166,aisha,kamau,1965-09-02
167,mwangi,,1967-01-11
168,,abdul,1978-07-23
169,faith,okello,1987-07-10
170,,njoroge,1975-02-27
171,aisah,njoroge,1977-07-01
172,aisha,doe,1976-10-10
173,john,okello,1975-05-14
174,otieon,smith,1989-03-17
175,faith,smith,1974-02-11
176,mwangi,abudl,1982-12-16
177,fiath,otieno,1985-11-14
178,faith,ode,1994-09-09
179,jane,abdul,1987-12-18
180,mwangi,doe,1985-10-28
181,mary,abdul,2005-09-11
182,jonh,kamau,1981-08-27
183,,badul,2010-01-10
184,mwangi,abdul,1963-12-19
185,,otieno,1987-01-01
186,faith,otieno,2006-02-12
187,faith,njoroge,2010-08-14
188,faith,,1985-04-13
189,faith,otieno,2000-04-25
190,ojhn,okello,1967-08-15
191,,njoroeg,1986-09-20
192,otieno,smith,1976-10-15
193,aisha,smith,1982-03-19
194,mary,,1989-02-22
195,afith,abudl,2005-04-13
196,aisha,ode,1981-03-24
197,john,doe,2007-09-25
198,aisha,otieno,1975-05-04
199,aisha,ode,1963-01-19
200,otieno,smith,1983-01-19
201,mary,,1982-04-27
202,mwangi,okello,1994-05-16
203,john,otieno,1969-10-01
204,aisha,okello,1989-10-21
205,mwnagi,ode,1987-10-28
206,,otieno,1996-06-24
207,otieno,,1994-04-11
208,john,abdlu,1960-05-08
209,aisha,abdul,2002-04-11
210,,,1998-05-24
211,jonh,smiht,1987-03-25
212,mwangi,akmau,1986-02-07
