id,first_name,last_name,dob
0,faith,abdul,1960-11-07
1,jane,smith,1981-03-07
2,otieno,smith,1991-11-05
3,mary,abdul,1995-08-15
4,john,kamau,1960-11-21
5,mary,otieno,1994-10-25
6,jane,otieno,1992-10-11
7,mary,smith,1967-10-24
8,otieno,njoroge,2006-06-03
9,aisha,smith,1963-02-20
10,faith,okello,2009-03-08
11,mwangi,njoroge,1986-02-15
12,otieno,kamau,1992-06-23
13,peter,doe,2008-03-09
14,john,njoroge,1970-11-22
15,mwangi,kamau,1998-02-07
16,mary,njoroge,1999-07-19
17,john,abdul,1966-09-05
18,aisha,doe,1970-01-05
19,john,njoroge,1986-03-18
20,otieno,abdul,1965-07-15
21,peter,njoroge,1960-08-25
22,otieno,njoroge,1977-06-16
23,faith,okello,1969-05-04
24,john,kamau,1987-11-24
25,john,njoroge,2005-12-02
26,aisha,smith,1990-04-07
27,john,okello,1973-05-05
28,faith,njoroge,1980-07-24
29,otieno,smith,1969-10-17
30,jane,njoroge,1974-02-01
31,jane,smith,1961-02-07
32,jane,doe,1961-03-14
33,peter,otieno,1965-03-12
34,john,njoroge,2000-06-09
35,mwangi,smith,1975-08-04
36,mwangi,otieno,1991-02-25
37,jane,okello,2001-05-19
38,jane,otieno,1975-07-21
39,aisha,abdul,1978-04-06
40,aisha,njoroge,1987-08-20
41,aisha,okello,1980-07-15
42,mary,otieno,1967-08-01
43,aisha,abdul,1993-05-01
44,otieno,smith,2008-11-24
45,peter,njoroge,1965-04-10
46,jane,abdul,1998-09-07
47,mwangi,abdul,1972-01-13
48,mary,okello,1995-12-19
49,mwangi,otieno,1980-11-12
50,faith,smith,1973-04-02
51,mary,okello,1967-09-04
52,mary,okello,1993-07-10
53,faith,okello,2006-03-21
54,faith,smith,1996-01-06
55,mary,doe,1983-11-11
56,otieno,abdul,1987-07-21
57,faith,smith,1991-10-19
58,peter,smith,2003-11-05
59,jane,smith,1979-04-04
60,aisha,doe,1966-08-22
61,john,otieno,1979-02-12
62,faith,smith,2006-12-21
63,peter,okello,1982-04-13
64,faith,kamau,1994-07-26
65,mary,okello,1970-09-22
66,jane,otieno,2003-06-12
67,aisha,doe,1964-12-21
68,otieno,doe,1966-03-06
69,john,kamau,2010-06-26
70,otieno,abdul,1967-02-28
71,john,abdul,1971-09-02
72,mary,okello,1972-12-02
73,peter,smith,1999-12-16
74,mary,abdul,1966-08-06
75,john,otieno,1975-05-21
76,aisha,okello,1980-07-25
77,john,kamau,2009-03-16
78,otieno,doe,1977-07-17
79,john,doe,1980-04-20
80,mwangi,abdul,2006-05-22
81,faith,njoroge,1994-02-16
82,john,kamau,2006-01-20
83,john,smith,2006-03-20
84,jane,otieno,1987-10-08
85,otieno,njoroge,2007-03-20
86,faith,okello,1988-07-26
87,jane,njoroge,1983-07-26
88,otieno,abdul,1980-01-22
89,peter,otieno,1975-08-28
90,jane,otieno,1997-05-06
91,otieno,okello,1993-08-26
92,otieno,njoroge,1976-08-15
93,john,otieno,2001-06-03
94,peter,njoroge,1965-10-28
95,john,otieno,1962-08-25
96,mary,otieno,1989-06-02
97,john,abdul,1984-12-10
98,peter,doe,2006-02-27
99,aisha,doe,2007-08-23
100,faith,kamau,1979-05-11
101,faith,smith,1985-10-16
102,aisha,okello,1992-01-03
103,jane,smith,1961-03-21
104,otieno,kamau,1971-03-08
105,peter,njoroge,2001-07-21
106,faith,okello,1981-03-27
107,peter,otieno,1981-02-27
108,faith,kamau,1997-01-05
109,john,doe,2004-03-12
110,mary,kamau,1966-08-16
111,mary,abdul,2010-12-02
112,otieno,kamau,2009-08-07
113,faith,abdul,1988-09-20
114,john,abdul,1988-03-12
115,john,doe,1993-01-01
116,mwangi,kamau,1975-03-24
117,jane,kamau,1985-12-25
118,mary,njoroge,1994-02-27
119,mwangi,smith,1973-11-15
120,mary,kamau,1982-08-08
121,mary,doe,1990-05-11
122,mwangi,kamau,1979-01-26
123,faith,okello,1973-10-14
124,mwangi,njoroge,2004-06-04
125,aisha,okello,1960-09-26
126,jane,okello,1998-05-10
127,jane,doe,1999-07-04
128,peter,kamau,1994-01-16
129,peter,abdul,1998-11-11
130,john,smith,1989-04-20
131,faith,otieno,1995-12-03
132,otieno,doe,1966-09-06
133,faith,abdul,1963-03-09
134,mwangi,doe,1964-09-10
135,mwangi,abdul,2007-10-24
136,aisha,otieno,1995-07-07
137,jane,smith,1976-11-05
138,john,njoroge,1962-02-06
139,john,kamau,1996-10-02
140,aisha,kamau,2000-11-10
141,mwangi,otieno,1991-04-03
142,otieno,smith,1965-07-19
143,jane,okello,2001-06-19
144,mary,okello,2001-10-27
145,mwangi,otieno,2004-01-09
146,faith,abdul,1968-04-18
147,mary,doe,1975-11-28
148,jane,smith,1993-06-08
149,otieno,njoroge,1996-11-17
150,aisha,doe,1988-05-15
151,mwangi,okello,1992-08-19
152,mary,kamau,1993-10-16
153,jane,abdul,1975-01-07
154,faith,otieno,1982-08-09
155,aisha,njoroge,1992-04-03
156,otieno,njoroge,1971-12-18
157,john,kamau,1996-03-24
158,faith,abdul,1980-10-11
159,peter,abdul,1991-11-28
160,faith,doe,1960-01-13
161,jane,otieno,1991-06-03
162,faith,okello,1982-10-06
163,mwangi,okello,1994-05-19
164,jane,okello,1995-07-13
165,john,smith,1966-04-10
166,mwangi,otieno,1981-09-13
167,faith,okello,1973-06-19
168,otieno,njoroge,1962-07-02
169,john,okello,1986-05-16
170,jane,abdul,2005-04-20
171,jane,smith,1960-09-28
172,john,otieno,1981-07-16
173,john,otieno,1997-10-01
174,mwangi,smith,2006-03-21
175,aisha,kamau,2006-04-21
176,otieno,kamau,1996-05-20
177,otieno,smith,1974-12-12
178,jane,okello,1978-09-03
179,faith,kamau,1968-03-24
180,aisha,okello,1990-10-21
181,aisha,okello,2000-05-28
182,aisha,kamau,2009-06-21
183,faith,kamau,1976-01-08
184,jane,kamau,1995-04-11
185,faith,smith,1988-01-14
186,john,otieno,1994-03-19
187,john,otieno,1988-03-07
188,faith,njoroge,1969-04-19
189,john,kamau,1992-12-01
190,peter,okello,1985-03-09
191,peter,otieno,1995-03-17
192,aisha,kamau,1970-11-07
193,aisha,smith,1987-02-13
194,mary,kamau,1961-01-01
195,mwangi,doe,1973-01-04
196,mwangi,doe,2009-07-25
197,jane,okello,1963-06-15
198,peter,otieno,1987-04-04
199,faith,otieno,1997-08-01
200,mwangi,otieno,1991-07-09
201,mwangi,otieno,2009-08-05
202,peter,doe,1995-05-04
203,aisha,okello,1992-06-28
204,john,doe,1991-03-07
205,faith,okello,1994-01-22
206,peter,kamau,2009-05-03
207,aisha,otieno,1999-07-19
208,mwangi,smith,1996-11-04
209,peter,otieno,1990-09-22
210,aisha,abdul,1985-02-04
211,jane,doe,1973-09-23
212,otieno,okello,1971-06-24
213,jane,otieno,1962-03-21
214,otieno,okello,2006-03-24
215,john,doe,1986-07-24
216,mwangi,otieno,1966-05-23
217,otieno,smith,1961-11-26
218,mwangi,smith,1976-12-22
219,mary,kamau,1969-12-27
220,faith,doe,2008-04-20
221,faith,doe,1963-03-10
222,john,otieno,1973-05-06
223,otieno,kamau,1965-07-18
224,peter,kamau,1967-02-20
225,faith,abdul,2003-11-23
226,mwangi,kamau,1964-03-11
227,john,okello,1978-09-05
228,faith,kamau,1992-02-25
229,faith,smith,1998-11-16
230,aisha,otieno,1990-09-27
231,mary,kamau,1991-08-11
232,peter,okello,1994-05-22
233,jane,abdul,1981-12-04
234,otieno,doe,1990-11-05
235,jane,doe,2001-06-07
236,otieno,njoroge,2002-03-09
237,otieno,abdul,1993-08-16
238,faith,smith,1968-08-05
239,faith,okello,2008-01-21
240,jane,smith,1964-10-24
241,peter,kamau,1971-09-02
242,aisha,njoroge,2004-07-05
243,john,okello,1993-08-11
244,faith,otieno,1980-05-21
245,aisha,otieno,1993-02-01
246,aisha,abdul,1982-06-26
247,mary,smith,1995-10-28
248,mary,njoroge,1989-06-10
249,mary,abdul,1976-10-07
250,mwangi,njoroge,1979-12-17
251,mwangi,kamau,1969-08-07
252,mwangi,doe,2003-06-25
253,aisha,okello,1974-08-05
254,jane,abdul,1971-08-16
255,otieno,abdul,1965-08-27
256,jane,kamau,1990-08-19
257,mary,smith,1990-03-11
258,faith,okello,2008-04-15
259,aisha,okello,1964-06-21
260,otieno,abdul,2005-04-22
261,jane,abdul,2005-09-04
262,aisha,okello,1974-08-26
263,otieno,otieno,1977-11-14
264,aisha,kamau,1977-04-16
265,aisha,abdul,1970-02-06
266,mwangi,kamau,1973-09-25
267,faith,njoroge,1998-10-18
268,jane,okello,1975-03-15
269,otieno,otieno,1987-03-23
270,john,kamau,1974-07-21
271,jane,otieno,1961-03-22
272,john,doe,1962-09-18
273,john,otieno,2006-07-03
274,john,kamau,1992-05-01
275,peter,njoroge,1986-02-15
276,faith,abdul,1984-10-07
277,faith,njoroge,1982-08-01
278,mary,njoroge,1996-01-07
279,peter,smith,1979-10-01
280,mary,smith,1984-11-22
281,aisha,kamau,1993-07-19
282,jane,abdul,1980-12-13
283,peter,kamau,1994-06-13
284,jane,smith,2010-01-25
285,jane,doe,1974-10-02
286,mary,doe,1966-01-08
287,faith,smith,1976-07-12
288,otieno,otieno,1995-09-28
289,aisha,otieno,1979-02-18
290,mwangi,abdul,1996-08-23
291,john,smith,1965-06-05
292,mwangi,otieno,1980-07-26
293,otieno,njoroge,2001-11-25
294,john,abdul,1991-07-12
295,jane,okello,1968-08-09
296,peter,abdul,1980-12-21
297,otieno,otieno,2010-12-15
298,john,okello,1993-11-05
299,faith,smith,2005-12-10
300,otieno,smith,1960-08-20
301,jane,otieno,1981-06-23
302,peter,okello,1974-09-19
303,jane,doe,1965-09-27
304,faith,njoroge,1993-01-11
305,peter,smith,1963-02-28
306,aisha,abdul,1989-05-03
307,otieno,abdul,2003-09-21
308,aisha,smith,2002-11-22
309,aisha,otieno,1980-11-06
310,mary,smith,1970-07-26
