id,first_name,last_name,dob
0,pteer,abdul,2004-02-26
1,otieno,doe,1962-08-16
2,mwangi,njoroeg,1989-05-21
3,asiha,toieno,1960-08-11
4,mwangi,njoroge,1960-11-27
5,amry,simth,1981-04-04
6,jane,adbul,2003-07-13
7,otieno,,1967-07-01
8,aisha,otieno,1966-12-16
9,iasha,doe,1991-06-13
10,peter,doe,1975-01-19
11,peter,otineo,1982-09-09
12,john,kmaau,1974-02-25
13,peter,njoroge,1982-07-19
14,john,okello,2008-11-02
15,mray,kamau,2006-03-23
16,otyno,doe,1969-02-05
17,afith,oklelo,1983-02-08
18,peter,smith,1981-01-14
19,peter,kamua,2010-02-20
20,mwanig,abdul,2001-04-17
21,mary,njrooge,1980-10-28
22,,otieno,2008-09-06
23,mwangi,kamau,1970-03-07
24,john,okello,2004-12-01
25,jaen,kmaau,2008-02-01
26,iasha,doe,1999-06-14
27,mwangi,smith,2000-07-01
28,mwangi,okello,1989-02-22
29,,otieon,2002-01-14
30,faith,doe,2001-03-15
31,,otieno,1962-04-11
32,otieno,smith,1976-05-19
33,jhon,okello,1980-05-13
34,mwangi,njoroge,2006-02-24
35,afith,smtih,1968-03-19
36,otineo,abdul,2005-04-10
37,fiath,doe,1972-01-05
38,mary,,1976-01-09
39,mwangi,njorgoe,1996-05-20
40,mwangi,deo,1970-02-26
41,,abdul,1974-06-21
42,aisha,doe,1967-05-26
43,mwagni,doe,1991-07-06
44,john,kamau,1997-08-02
45,ajne,ode,1999-05-21
46,aisha,abdul,2008-01-08
47,ojhn,,1971-11-09
48,mary,oekllo,1999-09-05
49,jonh,,1995-06-04
50,jnae,abdul,1961-11-05
51,oteino,otieno,1994-01-17
52,otieon,doe,1968-12-02
53,wmangi,toieno,2009-01-16
54,oiteno,kmaau,1978-12-21
55,,kamua,1996-04-20
56,jaen,njoorge,1994-04-20
57,mary,oiteno,1995-01-21
58,john,,2008-10-21
59,faith,,1987-11-22
60,john,okello,1973-08-09
61,faith,kamua,1964-05-21
62,otieno,msith,1977-04-26
63,jane,ode,2004-12-15
64,jane,ode,1984-01-10
65,john,smith,1963-02-02
66,petre,njoroge,1999-02-10
67,faith,kamau,1987-08-08
68,otyno,,1965-07-07
69,,kamau,1962-04-05
70,faith,koello,1962-03-18
71,mawngi,okello,2008-10-04
72,peter,doe,1962-07-04
73,jane,doe,1988-07-06
74,mary,smtih,1999-06-19
75,jane,otineo,2003-09-19
76,john,otieon,2004-08-07
77,mary,otieno,1966-05-16
78,pteer,smith,1979-07-27
79,john,smith,1991-07-04
80,mary,okelol,1997-03-28
81,faiht,njoroge,2008-08-03
82,fatih,smiht,1966-08-21
83,faith,otieno,1976-05-18
84,otieno,ode,2004-03-07
85,asiha,otieon,1987-07-09
86,mwangi,abdul,2002-04-19
87,faith,oklelo,1993-09-17
88,john,otieon,2001-03-24
89,fiath,doe,2001-05-28
90,john,smiht,1966-01-09
91,jhon,abdul,1963-09-02
92,ajne,otieno,1994-06-04
93,mary,doe,1960-03-16
94,jaen,kamau,1987-12-27
95,fatih,,1983-02-09
96,jnae,otieno,1988-09-05
97,mawngi,kamau,1988-10-02
98,john,,1960-10-24
99,aisah,doe,1968-02-25
100,aihsa,abdul,1975-12-08
101,peter,kamau,2005-08-17
102,,njoorge,1961-01-13
103,,okello,1967-09-03
104,mary,otieno,1987-02-25
105,mary,kamau,2000-07-04
106,jane,otieno,1998-12-04
107,aisha,okello,2003-11-26
108,otineo,,1985-11-05
109,peetr,,1981-04-21
110,john,msith,2004-11-06
111,otieno,doe,1974-01-17
112,jnae,,1999-06-22
113,john,otieno,1995-12-15
114,fiath,oklelo,1991-03-15
115,aisah,abdul,1966-10-19
116,mayr,smith,2008-03-01
117,ajne,,1963-05-21
118,,adbul,2003-02-09
119,,,1982-06-23
120,,kamau,1961-05-11
121,jaen,oekllo,1985-12-10
122,peter,okello,1989-01-22
123,faith,ode,1990-11-13
124,faith,otieno,1961-09-27
125,faith,kamau,2010-09-24
126,faith,okello,1971-05-07
127,,njrooge,1961-11-08
128,john,otieno,1978-05-09
129,jane,kamau,1989-05-24
130,aisha,kamua,1975-02-16
131,jane,otieno,2009-02-08
132,peter,doe,1986-09-10
133,,,2006-07-27
134,jane,kamua,1962-08-03
135,mayr,koello,1973-05-10
136,jane,abudl,1970-08-06
137,,otineo,1978-12-18
138,pteer,deo,1968-12-07
139,ajne,okello,1969-11-13
140,jaen,oklelo,1985-08-25
141,,doe,1974-07-17
142,john,doe,1996-10-21
143,faith,njoroeg,1960-01-23
144,jane,smtih,1986-12-21
145,aisha,smith,1966-03-16
146,,okello,1982-05-12
147,mary,abdlu,1999-08-01
148,aisha,smtih,1971-08-04
149,mwangi,akmau,2006-06-09
150,aisha,deo,2006-02-02
151,amry,toieno,1972-04-23
152,faith,abdul,1978-10-07
153,jhon,otieon,2009-07-16
154,,abdul,1993-07-27
155,,kamau,2009-10-18
156,mwangi,njoroge,1963-03-08
157,john,abdul,1990-10-07
158,,deo,1978-10-06
159,,kamau,2005-01-21
160,aisha,kamau,1984-03-10
161,mary,otineo,2002-10-10
162,mary,abudl,1985-07-21
163,,doe,1972-04-24
164,faith,abdul,1999-11-19
165,fatih,abdul,1984-06-26
166,petre,otieno,1961-05-03
167,jane,okello,1974-10-12
168,john,,1983-05-02
169,otineo,doe,2009-12-22
170,john,msith,2003-03-01
171,peter,njoroge,1965-01-28
172,faith,jnoroge,1979-01-01
173,,kamua,1975-03-13
174,petre,oteino,1994-04-26
175,iasha,okello,1984-12-17
176,pteer,abdul,1983-03-13
177,jaen,doe,2002-01-26
178,john,njoroge,2002-07-16
179,jane,jnoroge,1975-09-20
180,jhon,njoroge,1996-05-19
181,jnae,oekllo,1963-07-15
182,asiha,koello,1990-10-23
183,amry,deo,1964-07-11
184,mwangi,abdul,1975-06-01
185,peter,otieno,1985-04-09
186,aisha,jnoroge,1971-01-08
187,,njoroge,2008-06-16
188,aisha,adbul,1997-10-26
189,peter,kamau,1967-01-28
190,faith,njoroge,1976-06-11
191,iasha,abdul,2005-12-19
192,mwanig,okello,1999-07-15
193,jane,njrooge,1991-11-07
194,otieno,kamau,1961-06-08
195,iasha,njoroge,2009-08-08
196,aisah,abdul,2003-03-06
197,aisha,,1978-01-04
198,john,okello,1986-06-06
199,mwangi,otieno,1998-09-15
200,,deo,1960-04-13
201,otieno,okello,2003-03-08
202,mwagni,jnoroge,1979-10-19
203,amry,,2007-09-16
204,peetr,abudl,1966-02-01
205,aisha,otieon,1986-01-07
206,otieon,,1997-02-04
207,peter,okello,1999-05-27
208,jnae,doe,1967-04-10
209,faith,smith,1984-03-26
210,jane,simth,1980-09-16
211,peter,smith,1992-07-02
212,aihsa,otieno,1974-10-19
213,peter,njoroge,1965-11-20
214,john,deo,1993-01-02
215,mwnagi,doe,1967-11-07
216,peter,otieno,1973-05-01
217,faith,,1960-10-14
218,aisha,smith,1968-04-03
219,mwangi,doe,2002-11-12
220,jane,,2001-07-27
221,,njoroge,2003-03-17
222,aisha,otieno,2006-06-06
223,otieno,abdul,1964-11-24
224,mary,okello,1972-06-19
225,john,njoroge,1971-03-20
226,faith,okello,1982-01-02
227,mwangi,njoroge,1967-07-26
228,epter,njoroge,1999-10-18
229,mwangi,akmau,1964-01-27
230,oteino,,1968-06-20
231,ajne,okello,1992-04-28
232,otyno,njoroge,1969-03-28
233,otyno,otieno,1961-05-20
